"subNum" "cond" "set" "url"
2 0 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
4 1 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
6 2 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
8 3 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
10 4 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
12 5 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
14 6 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
16 7 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
18 8 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
20 9 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
22 10 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
24 11 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
26 0 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
28 1 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
30 2 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
32 3 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
34 4 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
36 5 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
38 6 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
40 7 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
42 8 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
44 9 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
46 10 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
48 11 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
50 0 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
52 1 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
54 2 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
56 3 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
58 4 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
60 5 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
62 6 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
64 7 388 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
66 8 498 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
68 9 848 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=2&group=2&cond=0&batchId=395&generalMultiple"
70 10 111 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=4&group=2&cond=1&batchId=395&generalMultiple"
72 11 246 "https://lsr-studies-01.mrc-cbu.cam.ac.uk/publix/322/start?sub=6&group=2&cond=2&batchId=395&generalMultiple"
